FarmID,State,Crop,Season,SoilType,FarmingMethod,IrrigationType,FertilizerUsed,PesticideUsed,ImprovedSeed,FarmSize(Hectares),Rainfall(mm),Temperature(°C),Humidity(%),SoilPH,Fertilizer(kg/ha),Pesticide(L/ha),FarmExperience(Years),NumWorkers,DistanceToMarket(km),CreditAccess,ExtensionServices,PreviousYield(tons/ha),PlantingDensity(plants/ha),ActualYield(tons/ha),YieldCategory
FRM000001,Kebbi,Maize,Wet Season,LOAMY,irrigation,None,Yes,Yes,Yes,0.87,576.0,29.8,63.0,5.62,27.6,6.42,19,3,22.9,0,1,1.11,100000.0,6.2,high
FRM000002,Sokoto,Millet,Dry Season,Clay,rain-fed,Flood,Yes,Yes,No,9.49,702.0,30.0,64.7,6.02,49.4,3.18,13,4,37.9,1,1,3.88,52344.0,3.45,MODERATE
FRM000003,Bauchi,Cowpea,DRY,Sandy,irrigation,Nil,No,No,Yes,0.38,827.0,30.1,52.2,4.94 pH,39.3,5.18,21,3,27.9,0,0,3.04,66641.0,2.21,Poor
FRM000004,Yobe,Groundnut,dry season,Clay,Rain-fed,Sprinkler,No,No,No,0.97 ha,817.6,26.7,49.7,63.4,113.1,6.19,20,4,1.8,0,1,1.55,50945.0,1.58,L
FRM000005,Adamawa,Cowpea,dry season,clay,Irrigation,Drip,Yes,yes,Yes,1.22,924.4,25.9,80.0,4.85,70.3,2.36,22,6,5.2,0,1,3.61,58168.0,5.24,Excellent
FRM000006,Benue,Sorghum,Dry Season,Sandy,Mixed,None,Yes,Yes,No,1.57,670.3,27.2,56.3%,6.53,92.3,3.12,13,4,8.4,1,0,3.26,50414.0,3.15,medium
FRM000007,Bauchi,Millet,DRY,Clay,Rain-fed,Flood,Yes,Yes,Yes,1.95,770.9,23.7,77.0,6.7,160.1,0.81,14,2,26.3,1,0,5.29,39197.0,3.3,medium
FRM000008,Zamfara,Cowpea,WET,Sandy,Irrigation,Flood,No,Yes,Yes,3.96,499.9,30.3,40.7,5.75,76.8,2.87,15,2,19.1,0,0,3.78,28157.0,3.06,MEDIUM
FRM000009,Kebbi,Groundnut,Wet Season,Loamy,Rainfed,None,Yes,Yes,No,3.75,1083.7,28.2,44.5,6.39,96.1,4.01,12,1,35.6,0,0,3.02,57562.0,3.55,Moderate
FRM000010,Taraba,Cowpea,dry,Clay,Rain-fed,None,No,Yes,No,0.33,1109.4,23.2,50.5,5.02,90.5,1.2,1,3,1.0 km,0,0,3.33,30137.0,1.84,Below Average
FRM000011,Katsina,Yam,dry season,Silt,irrigation,Flood,Yes,No,No,2.72,708.3,27.9,53.2,4.52 pH,112.4,5.17,8,4,37.7,0,1,1.68,44668.0,3.65,M
FRM000012,Kebbi,Wheat,wet season,Sandy,Irrigation,Drip,Yes,No,Yes,5.47,904.2,34.4,80.0,6.17,92.8,5.36,4,3,28.2,0,1,1.88,47777.0,3.07,AVERAGE
FRM000013,Adamawa,Wheat,Rainy,Clay,Irrigation,Flood,Yes,Yes,Yes,0.11,854.9,26.1,76.8%,pH 6.7,79.5,5.72,10,1,14.1,1,0,2.26,41351.0,5.5,Excellent
FRM000014,Adamawa,Cowpea,dry season,Clay,Rain-fed,Flood,Yes,Yes,Yes,2.9,871.5,30.4,55.7,5.55,23.7,3.04,13,3,9.1miles,1,1,3.58,55133.0,6.01 t/ha,H
FRM000015,Benue,Groundnut,Wet Season,loamy,Irrigation,None,no,Yes,Yes,1.51,865.1,30.6,57.2,6.09,98.3,0.53,20,6,9.0,1,1,1.79,68264.0,6.14,EXCELLENT
FRM000016,Zamfara,Yam,wet season,Sandy,mixed,Flood,Yes,no,Yes,1.62,1266.4,27.6,61.8%,7.2,115.0,2.83,13,5,24.5,1,1,3.16,53310.0,3.25,MODERATE
FRM000017,Sokoto,Maize,Rainy,Loamy,irrigation,Sprinkler,No,yes,no,11.66,1066.6,27.6,84.2,7.76,79.1,3.91,21,2,20.6,1,0,2.09,38342.0,2.39,medium
FRM000018,Benue,Maize,WET,Loamy,Rain-fed,None,No,yes,Yes,0.26,1142.7,27.1,100.0,6.95,70.9,4.05,15,2,1.0,1,0,1.83,43397.0,31.9,Average
FRM000019,Benue,Yam,dry,Clay,mixed,N/A,No,Yes,No,0.17,558.1,24.3,69.4,4.96,88.4,5.05,21,4,7.2,1,1,1.7,45934.0,1.93,L
FRM000020,Katsina,Rice,Wet Season,Silt,Irrigation,Sprinkler,yes,No,Yes,5.75,855.0,29.9,58.7,5.79,40.5,3.31,12,3,9.4,0,1,5.05,71761.0,5.45,EXCELLENT
FRM000021,Niger,Groundnut,Dry Season,Silty,Mixed,None,Yes,No,Yes,3.98 acres,662.6,19.7,89.2,5.96,114.3,3.58,14,5,20.3,1,0,3.11,50729.0,3.3,Moderate
FRM000022,Zamfara,Maize,wet season,Loamy,Irrigation,sprinkler,Yes,Yes,Yes,0.92,854.8,23.1,98.7,5.83,83.2,3.33,17,6,28.7,0,0,3.57,44755.0,6.15 t/ha,High
FRM000023,Kaduna,Rice,dry season,Silt,Rain-fed,none,yes,No,no,2.24,580.5,27.6,63.0,5.58,118.7,6.56,19,3,22.0,1,1,3.27,43985.0,2.83,Moderate
FRM000024,Benue,Groundnut,Dry Season,Sandy,Irrigation,flood,1,Yes,Yes,1.17,801.9,36.8,79.0,6.4,82.1,0.0,19,4,10.8,1,1,2.59,27827.0,6.07,H
FRM000025,Gombe,Yam,Rainy,Sandy,Rain-fed,flood,Yes,No,Yes,1.71,484.5,27.8,65.8,6.7,49.9,4.59,17,1,12.7,0,1,2.59,62503.0,1.26,LOW
